Model,Train Score,Test Score,Precision,Specificity,Recall,F1 Score,ROC AUC Score
Null Model,n/a,0.514,n/a,n/a,n/a,n/a,n/a
Logistic Regression,0.6683467741935484,0.6344410876132931,0.6271186440677966,0.6549019607843137,0.6128364389233955,0.6198952879581152,0.6338691998538546
AdaBoost Classifer,0.7271505376344086,0.6384692849949648,0.6390134529147982,0.6843137254901961,0.5900621118012422,0.6135629709364908,0.6371879186457191
Bagging Classifier,0.9983198924731183,0.6737160120845922,0.6844547563805105,0.7333333333333333,0.6107660455486542,0.6455142231947484,0.6720496894409937
Gradient Boosting Classifier,0.9983198924731183,0.6636455186304129,0.6697038724373576,0.7156862745098039,0.6086956521739131,0.6377440347071583,0.6621909633418586
Random Forest Classifier,0.9791666666666666,0.6505538771399798,0.6683168316831684,0.7372549019607844,0.5590062111801242,0.6087936865839909,0.6481305565704543
Extra Trees Classifier,0.9983198924731183,0.6696878147029205,0.6733780760626398,0.7137254901960784,0.6231884057971014,0.6473118279569892,0.66845694799659
SVM for Classification,0.7657930107526881,0.6374622356495468,0.6433566433566433,0.7,0.5714285714285714,0.6052631578947368,0.6357142857142857
