Model,Train Score,Test Score,Mean Absolute Error,Mean Percentage Absolute Error,Median Absolute Error,Median Percentage Absolute Error
Linear Regression v2,0.5645026913217064,0.5609875574712357,1567.7915800394956,21.506058824798465,1089.2433094569124,15.560618706527348
LassoCV v2,0.5606534041046993,0.5635335022460566,1558.8955669795926,21.38402845889509,1093.6470213259863,15.623528876085546
RidgeCV v2,0.5644956349837059,0.5611009136702924,1567.3258393694557,21.499670063451294,1091.4924322525967,15.59274903217998
ElasticnetCV v2,0.5605298251916311,0.563494578823285,1558.5253388474982,21.378949883344113,1098.4315268108276,15.691878954440423
AdaBoost Regressor v2,0.48064246039546177,0.4651963910349154,1675.7466582732122,22.98692419777843,1256.0954680482464,17.94422097211784
Bagging Regressor v2,0.7474970050735745,0.5341964805092065,1543.7526460456957,21.176306621037373,1058.3299941718678,15.118999916740997
Gradient Boosting Regressor v2,0.6377093690662803,0.5764985879047588,1513.068575927665,20.755400280332328,1094.6755167111332,15.638221667301933
Random Forest Regressor v2,0.9386879604927872,0.6048875688750438,1436.799447316296,19.709184452083715,1025.8539545183548,14.655056493119382
Extra Trees Regressor v2,0.9984491918879554,0.5714033722315194,1456.0330182828104,19.973019462988912,995.8418012511402,14.226311446444887
Support Vector Machine for Regression v2,0.7422053186470465,0.5285684012153253,1565.4702810583653,21.474216586918303,1138.7450364009992,16.26778623430002
